Group	Number
Under $5000	4261
$5000 to $9999	4972
$10000 to $14999	7127
$15000 to $19999	6882
$20000 to $24999	7095
$25000 to $29999	6591
$30000 to $34999	6667
$35000 to $39999	6136
$40000 to $44999	5795
$45000 to $49999	4945
$50000 to $54999	5170
$55000 to $59999	4250
$60000 to $64999	4432
$65000 to $69999	3836
$70000 to $74999	3606
$75000 to $79999	3452
$80000 to $84999	3036
$85000 to $89999	2566
$90000 to $94999	2594
$95000 to $99999	2251
$100000 to $104999	2527
$105000 to $109999	1771
$110000 to $114999	1723
$115000 to $119999	1569
$120000 to $124999	1540
$125000 to $129999	1258
$130000 to $134999	1211
$135000 to $139999	918
$140000 to $144999	1031
$145000 to $149999	893
$150000 to $154999	1166
$155000 to $159999	740
$160000 to $164999	697
$165000 to $169999	610
$170000 to $174999	617
$175000 to $179999	530
$180000 to $184999	460
$185000 to $189999	363
$190000 to $194999	380
$195000 to $199999	312
$200000 to $249999	2297
$250000 and over	2808